Tech_rep,Temp,Replicate,Treatment,PopID,Date time start,Date time end,Total time (days),Total time (days),# at end,r,r2
4,39,7,36,36.7,4/1/2021 11:15,4/2/2021 10:20,0.96,7,0,#NUM!,
5,38,1,20,20.1,4/14/2021 14:50,4/15/2021 9:47,0.79,7,6,-0.2,-0.2
5,38,2,20,20.2,4/14/2021 14:50,4/15/2021 9:50,0.79,7,6,-0.19,-0.19
5,38,3,20,20.3,4/14/2021 14:50,4/15/2021 10:27,0.82,7,0,#NUM!,
5,38,4,20,20.4,4/14/2021 14:50,4/15/2021 10:05,0.8,7,1,-2.43,-2.43
5,38,5,36,36.1,4/14/2021 14:50,4/15/2021 10:10,0.81,7,2,-1.56,-1.56
5,38,6,36,36.6,4/14/2021 14:50,4/15/2021 10:18,0.81,7,4,-0.69,-0.69
5,38,7,36,36.7,4/14/2021 14:50,4/15/2021 9:35,0.78,7,4,-0.72,-0.72
6,38,1,20,20.1,4/14/2021 14:50,4/15/2021 10:30,0.82,7,5,-0.41,-0.41
6,38,2,20,20.2,4/14/2021 14:50,4/15/2021 9:54,0.79,7,7,0,0
6,38,3,20,20.3,4/14/2021 14:50,4/15/2021 9:58,0.8,7,7,0,0
6,38,4,20,20.4,4/14/2021 14:50,4/15/2021 10:02,0.8,7,6,-0.19,-0.19
6,38,5,36,36.1,4/14/2021 14:50,4/15/2021 10:14,0.81,7,2,-1.55,-1.55
6,38,6,36,36.6,4/14/2021 14:50,4/15/2021 10:21,0.81,7,1,-2.39,-2.39
6,38,7,36,36.7,4/14/2021 14:50,4/15/2021 9:43,0.79,7,7,0,0
